0.5,leaf.length.meter,leaf.width.meter,internode.length,petile.length,leaf.area,codon.length.m,codon.diameter.m
1,0.103698006,0.077520828,0.094275477,0.052985455,0.007058233,0.1,0.01
2,0.11188469,0.073579092,0.029007839,0.057168517,0.007228235,0.12,0.01257
3,0.140744725,0.096432716,0.039556144,0.071914819,0.011916911,0.12,0.01046
4,0.159937187,0.112896838,0.095594015,0.081721385,0.015853984,0.12,0.00996
5,0.179885319,0.097681431,0.106801589,0.091914067,0.015428187,0.092352,0.01029
6,0.193249434,0.104938422,0.094934746,0.098742585,0.017805736,0.077558,0.00994
7,0.193249434,0.104938422,0.123942585,0.098742585,0.017805736,0.077558,0.00952
8,0.198878058,0.106356507,0.151631885,0.101618583,0.018571976,0.095017,0.00999
9,0.20638289,0.110610768,0.108779396,0.105453246,0.020043717,0.07241,0.01049
10,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00953
11,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00912
12,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00953
13,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00918
14,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00929
15,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00957
16,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00957
17,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00957
18,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00957
19,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00957
20,0.15740763,0.110610768,0.160861652,0.080428885,0.015287285,0.073515,0.00957
