rank,p1.decl.1,p1.decl.2,p2.decl.1,p2.decl.2,p3.decl.1,p3.decl.2,p4.decl.1,p4.decl.2,p5.decl.1,p5.decl.2
1,90,90,90,20,100,85,90,85,105,60
2,90,85,75,90,120,65,80,20,70,70
3,90,90,65,85,50,60,70,90,65,60
4,81,90,65,80,120,40,55,50,60,60
5,130,40,65,75,90,70,90,70,70,10
6,90,90,55,70,70,60,80,80,90,50
7,60,55,55,65,45,90,75,70,50,55
8,60,70,65,55,40,45,70,60,90,45
9,55,60,50,55,40,60,65,60,60,60
10,25,80,65,60,45,40,50,750,90,40
11,50,85,45,55,45,40,85,0,90,20
12,30,80,45,50,40,45,30,60,60,46
13,20,75,30,60,50,50,50,55,70,45
14,42,60,40,45,65,30,50,50,60,50
15,25,65,40,50,40,40,45,45,60,55
16,20,45,40,35,60,45,50,45,30,55
17,25,65,40,50,40,40,45,45,60,55
18,20,45,40,35,60,45,50,45,30,55
19,25,65,40,50,40,40,45,45,60,55
20,20,45,40,35,60,45,50,45,30,55
